N,P,K,pH,EC,OC,Zn,Fe,Cu,Mn,Output
201,5.3,507,7.6,0.53,0.39,0.32,9.32,0.69,9.03,0
151,5.9,581,7.6,0.48,0.88,0.42,4.05,1.06,5.3,0
75,7.9,327,7.8,0.66,0.1,0.5,7.32,0.87,6.32,0
232,5.9,275,7.7,0.43,0.68,0.47,6.52,1.52,8.05,0
207,7.5,549,7.7,0.72,0.49,0.36,4.56,1.96,13.02,0
264,6.4,496,7.9,0.38,0.78,0.52,8.06,1.32,14.52,1
188,5,454,7.6,0.74,0.2,0.34,3.59,1.54,17.56,0
326,6.8,486,7.8,0.82,1.07,0.58,4.58,0.86,11.52,1
295,4.8,327,7.6,0.43,0.88,0.42,7.63,0.51,9.03,1
126,8.6,454,7.7,0.62,0.39,0.32,9.32,1.35,4.85,0
207,6.8,327,7.6,0.71,0.68,0.57,4.02,1.25,6.32,0
213,7.2,338,7.7,0.43,0.2,0.58,9.63,0.86,8.32,0
69,4.4,507,7.7,0.53,0.1,0.39,4.02,1.03,13.05,0
220,5.9,539,7.5,0.42,0.29,0.33,8.32,1.45,9.63,0
163,8.1,496,7.5,0.77,1.17,0.51,6.03,1.32,7.63,0
138,6.1,348,7.4,0.41,0.88,0.28,4.85,0.85,13.05,0
88,7.5,444,7.5,0.76,0.1,0.52,4.05,1.63,7.63,0
195,4.8,422,7.4,0.52,0.29,0.33,8.32,1.45,9.63,0
251,6.8,391,7.6,0.36,0.88,0.48,5.02,0.63,6.03,0
207,7.5,412,7.4,0.61,0.1,0.52,9.32,1.02,11.63,0
195,6.6,433,7.5,0.6,0.49,0.39,7.15,1.58,12.02,0
220,4.6,401,7.7,0.52,0.78,0.24,4.02,1.3,7.51,0
251,7.5,380,7.6,0.76,1.07,0.28,5.21,0.69,12.21,0
238,7,570,7.7,0.53,0.88,0.63,3.26,1.05,5.25,0
119,8.3,444,7.6,0.76,0.49,0.41,4.05,2.02,4.85,0
163,5.9,444,7.5,0.53,0.68,0.52,2.89,1.58,13.25,0
207,8.3,612,7.5,0.46,0.2,0.35,6.32,0.68,8.5,0
138,5.9,602,7.5,0.42,1.17,0.6,7.51,0.78,6.32,0
126,7.2,433,7.5,0.65,0.98,0.52,3.15,1.05,7.15,0
157,6.8,475,7.4,0.45,0.88,0.48,4.32,1.96,9.52,0
201,6.6,655,7.6,0.64,0.1,0.41,1.69,1.57,11.05,0
257,8.6,465,7.4,0.44,0.78,0.36,6.23,0.68,14.15,0
201,7.7,327,7.5,0.6,0.59,0.25,4.05,0.5,12.3,0
257,6.4,422,7.5,0.59,0.39,0.28,2.68,1.26,19.21,0
251,8.1,539,7.6,0.72,0.68,0.37,3.51,1.03,14.52,0
201,4.8,496,7.5,0.53,0.49,0.25,5.69,2.02,7.68,0
333,7,422,7.5,0.48,0.1,0.39,3.9,1.89,13.25,1
320,8.3,359,7.4,0.53,1.17,0.52,4.12,0.87,6.17,1
232,5,560,7.4,0.76,0.29,0.42,2.05,1.05,12.05,0
326,5.3,549,7.6,0.82,0.59,0.57,1.98,1.63,6.38,1
195,5.5,507,7.4,0.61,0.1,0.35,3.25,0.78,4.51,0
345,6.8,496,7.7,0.57,0.88,0.29,6.3,1.51,9.32,1
257,8.1,634,7.6,0.81,0.39,0.57,7.21,1.63,11.5,1
251,4.8,444,7.4,0.54,0.59,0.48,4.15,0.98,13.52,0
226,6.1,644,7.4,0.56,0.29,0.29,3.26,1.05,14.25,0
264,7.2,496,7.6,0.62,0.1,0.34,6.53,1.87,6.25,1
213,6.8,612,7.7,0.6,0.78,0.51,1.87,1.6,9.32,0
132,6.4,517,7.5,0.61,0.49,0.46,5.02,0.69,7.15,0
195,6.6,750,7.5,0.53,0.68,0.28,6.33,0.7,11.56,0
50,8.1,454,7.6,0.74,1.17,0.33,4.51,1.3,6.25,0
201,5.3,634,7.5,0.68,0.88,0.51,6.23,1.89,7.05,0
100,8.3,676,7.6,0.59,0.1,0.27,4.05,0.52,15.62,0
232,7,444,7.6,0.62,1.27,0.39,7.35,0.66,7.53,0
69,5.9,612,7.6,0.52,0.68,0.51,6.49,1.05,9.32,0
31,4.6,581,7.5,0.63,1.17,0.6,4.05,1.96,4.15,0
63,8.3,496,7.4,0.62,0.88,0.57,6.32,1.32,12.58,0
132,8.1,433,7.5,0.51,0.78,0.33,5.21,3.02,4.52,0
201,8.6,507,7.7,0.72,0.1,0.49,8.51,0.75,6.32,0
358,8.3,338,7.4,0.64,0.78,0.35,2.48,1.53,11.89,1
63,7,422,7.6,0.57,0.59,0.26,3.15,1.96,9.06,0
195,7.5,444,7.5,0.64,0.15,0.34,3.77,0.97,7.83,0
